Target_ID,Classification,Status,Z_Slice,Original_Y,Original_X,Corrected_Y,Corrected_X,Local_Dendrite_Surface_Max,Local_Dendrite_Surface_IntDen,Area_Opt_Z_um2,Geodesic_Distance_um,Vol_voxels,Vol_um3,Max_Intensity,Sum_Intensity,Integrated_Density,Z_Slices_Count,Avg_Initial_Dendrite_Intensity,Barrier_um,Tolerance,Z_Search_Range,Dendrite_Length_um
1,Spine,static,20,7,164,6,162,872,734932.0,0.9214559999999999,2.3087762992546503,660,2.309472,624,260545.0,260545.0,11,204.95200366804218,0.0,0.45,10,0.0
2,Spine,static,29,140,142,142,137,799,1222060.0,2.56608,0.756,3104,10.861516799999999,544,812308.0,812308.0,21,204.95200366804218,0.0,0.45,10,0.0
3,Spine,static,33,211,148,210,153,892,1159786.0,2.0178719999999997,1.2641075903577195,1720,6.018623999999999,807,758393.0,758393.0,14,204.95200366804218,0.0,0.45,10,0.0
4,Spine,static,7,28,219,29,218,808,627254.0,19.723823999999997,2.7,28711,100.46553119999999,391,4103610.0,4103610.0,17,204.95200366804218,0.0,0.45,10,0.0
5,Spine,static,51,156,184,156,185,349,237786.0,41.348879999999994,2.949804061289495,74439,260.47694879999995,229,10214990.0,10214990.0,21,204.95200366804218,0.0,0.45,10,0.0
6,Spine,static,36,176,124,175,123,783,1105833.0,3.3708959999999997,1.500383950860579,5157,18.045374399999996,409,1053243.0,1053243.0,21,204.95200366804218,0.0,0.45,10,0.0
7,Spine,static,38,214,120,213,119,778,1128435.0,1.714608,0.864,2317,8.107646399999998,465,548727.0,548727.0,21,204.95200366804218,0.0,0.45,10,0.0
8,Spine,static,40,237,137,237,142,854,1224109.0,8.654688,0.756,15499,54.23410079999999,807,3269416.0,3269416.0,21,204.95200366804218,0.0,0.45,10,0.0
9,Spine,static,35,254,141,254,142,875,1268676.0,2.694384,1.0636766425939792,2799,9.794260799999998,479,675661.0,675661.0,19,204.95200366804218,0.0,0.45,10,0.0
10,Spine,static,29,262,114,257,109,875,1177448.0,27.771983999999996,0.7787990755002216,50001,174.96349919999997,387,7450381.0,7450381.0,21,204.95200366804218,0.0,0.45,10,0.0
11,Spine,static,44,281,129,286,134,836,1265343.0,27.538704,0.7787990755002216,49581,173.49383519999998,616,7399811.0,7399811.0,21,204.95200366804218,0.0,0.45,10,0.0
12,Spine,static,57,322,166,321,168,0,0.0,43.401743999999994,5.184,78141,273.43098719999995,358,10997843.0,10997843.0,21,204.95200366804218,0.0,0.45,10,0.0
13,Spine,static,51,323,129,324,134,770,1190406.0,1.178064,1.5273506473629428,853,2.9848175999999995,698,371856.0,371856.0,12,204.95200366804218,0.0,0.45,10,0.0
14,Spine,static,45,320,156,321,156,0,0.0,43.401743999999994,3.888,77688,271.84584959999995,698,11430566.0,11430566.0,21,204.95200366804218,0.0,0.45,10,0.0
15,Spine,static,51,338,98,333,93,801,1201723.0,1.236384,0.9659813662799092,1285,4.496472,845,592800.0,592800.0,15,204.95200366804218,0.0,0.45,10,0.0
16,Spine,static,49,376,114,381,115,737,1158022.0,1.236384,0.9957108013876319,1091,3.8176271999999996,871,523556.0,523556.0,15,204.95200366804218,0.0,0.45,10,0.0
17,Spine,static,49,369,77,367,74,728,1107227.0,3.7558079999999996,2.2264770378335363,4844,16.950124799999998,845,1368937.0,1368937.0,21,204.95200366804218,0.0,0.45,10,0.0
18,Spine,static,54,441,103,441,104,865,1210794.0,0.6998399999999999,1.7811816302668293,483,1.6901135999999999,464,128824.0,128824.0,12,204.95200366804218,0.0,0.45,10,0.0
20,Spine,static,66,518,72,518,75,725,1031170.0,1.9012319999999998,1.0188699622621131,1703,5.959137599999999,564,513805.0,513805.0,19,204.95200366804218,0.0,0.45,10,0.0
22,Spine,static,54,417,77,417,75,898,1183839.0,18.884016,0.756,36695,128.403144,460,5692752.0,5692752.0,21,204.95200366804218,0.0,0.45,10,0.0
23,Spine,static,38,402,82,397,77,692,898043.0,28.833408,0.8905908151334146,51904,181.6224768,492,7853482.0,7853482.0,21,204.95200366804218,0.0,0.45,10,0.0
