Target_ID,Classification,Status,Z_Slice,Original_Y,Original_X,Corrected_Y,Corrected_X,Local_Dendrite_Surface_Max,Local_Dendrite_Surface_IntDen,Area_Opt_Z_um2,Geodesic_Distance_um,Vol_voxels,Vol_um3,Max_Intensity,Sum_Intensity,Integrated_Density,Z_Slices_Count,Avg_Initial_Dendrite_Intensity,Barrier_um,Tolerance,Z_Search_Range,Dendrite_Length_um
1,Spine,static,20,7,164,7,164,841,752219.0,0.5831999999999999,1.9914216027752636,446,1.5606432,624,191833.0,191833.0,11,201.3445397654275,0.0,0.45,10,0.0
2,Spine,static,17,8,182,8,182,869,755809.0,0.256608,0.108,346,1.2107231999999999,327,68048.0,68048.0,21,201.3445397654275,0.0,0.45,10,0.0
3,Spine,static,6,28,219,30,216,808,678414.0,0.5715359999999999,2.376,712,2.4914303999999996,210,107909.0,107909.0,16,201.3445397654275,0.0,0.45,10,0.0
4,Spine,static,33,140,142,139,142,747,1204602.0,0.27993599999999996,0.15273506473629425,302,1.0567583999999999,544,99536.0,99536.0,15,201.3445397654275,0.0,0.45,10,0.0
6,Spine,static,35,176,124,176,124,830,1105848.0,0.37324799999999997,1.2641075903577195,469,1.6411247999999998,406,109131.0,109131.0,15,201.3445397654275,0.0,0.45,10,0.0
7,Spine,static,32,211,148,210,149,892,1165060.0,1.3180319999999999,0.7636753236814714,1021,3.5726831999999997,807,513810.0,513810.0,12,201.3445397654275,0.0,0.45,10,0.0
8,Spine,static,38,214,120,214,120,734,1114192.0,0.46656,0.6297428046432925,469,1.6411247999999998,465,130824.0,130824.0,17,201.3445397654275,0.0,0.45,10,0.0
9,Spine,static,36,254,141,253,141,907,1260646.0,0.314928,0.8707238368162433,370,1.2947039999999999,479,106199.0,106199.0,12,201.3445397654275,0.0,0.45,10,0.0
10,Spine,static,39,265,111,265,111,1096,1241764.0,0.23328,0.324,513,1.7950895999999998,540,131422.0,131422.0,21,201.3445397654275,0.0,0.45,10,0.0
11,Spine,static,52,323,129,324,131,770,1197757.0,0.781488,1.1275531029623393,644,2.2534848,698,298180.0,298180.0,12,201.3445397654275,0.0,0.45,10,0.0
12,Spine,static,44,320,156,321,155,311,5022.0,0.303264,3.672,661,2.3129712,256,114559.0,114559.0,21,201.3445397654275,0.0,0.45,10,0.0
13,Spine,static,50,338,98,337,97,905,1185170.0,0.64152,0.34152598729818495,524,1.8335807999999998,845,306654.0,306654.0,11,201.3445397654275,0.0,0.45,10,0.0
14,Spine,static,50,369,77,370,79,829,1206899.0,0.9797759999999999,1.5463246748338462,1091,3.8176271999999996,507,339486.0,339486.0,14,201.3445397654275,0.0,0.45,10,0.0
15,Spine,static,49,378,114,378,114,751,1165866.0,0.7464959999999999,0.610940258945177,569,1.9910447999999998,871,322257.0,322257.0,11,201.3445397654275,0.0,0.45,10,0.0
16,Spine,static,53,416,77,417,77,898,1176156.0,0.314928,0.4452954075667073,507,1.7740943999999998,403,117323.0,117323.0,21,201.3445397654275,0.0,0.45,10,0.0
17,Spine,static,55,441,103,441,103,865,1195600.0,0.34991999999999995,1.6055354247103986,317,1.1092464,464,90658.0,90658.0,12,201.3445397654275,0.0,0.45,10,0.0
18,Spine,static,54,466,45,466,45,866,854188.0,0.10497599999999999,2.725796764250776,30,0.10497599999999999,5317,17882.0,17882.0,3,201.3445397654275,0.0,0.45,10,0.0
19,Spine,static,67,518,74,518,74,725,1002781.0,0.43156799999999995,0.864,409,1.4311728,564,144186.0,144186.0,12,201.3445397654275,0.0,0.45,10,0.0
21,Spine,static,1,477,65,477,60,185,457619.0,0.20995199999999997,0.7244860247099318,175,0.6123599999999999,177,25872.0,25872.0,11,201.3445397654275,0.0,0.45,10,0.0
22,Spine,static,2,490,61,488,59,192,467774.0,0.34991999999999995,0.4452954075667073,401,1.4031791999999998,184,57878.0,57878.0,12,201.3445397654275,0.0,0.45,10,0.0
23,Spine,static,1,507,52,505,49,191,423291.0,0.198288,0.5815977991705265,202,0.7068384,188,29802.0,29802.0,11,201.3445397654275,0.0,0.45,10,0.0
24,Spine,static,1,522,69,527,66,191,329130.0,0.24494399999999997,0.3893995377501108,246,0.8608031999999999,185,35566.0,35566.0,11,201.3445397654275,0.0,0.45,10,0.0
25,Spine,static,1,522,67,517,72,191,392878.0,0.75816,0.648,696,2.4354432,186,101520.0,101520.0,11,201.3445397654275,0.0,0.45,10,0.0
