Segment_ID,Length_px
1,121.0
2,133.0
3,285.0
4,59.0
5,212.0
6,35.0
7,1.0
8,43.0
9,37.0
10,53.0
11,344.0
12,108.0
13,230.0
14,64.0
15,33.0
16,288.0
17,6.0
18,2.0
19,31.0
20,103.0
21,108.0
22,8.0
23,47.0
24,73.0
25,2.0
26,39.0
27,121.0
28,201.0
29,111.0
30,16.0
31,13.0
32,43.0
33,18.0
34,39.0
35,193.0
36,65.0
37,30.0
38,26.0
39,38.0
40,7.0
41,150.0
42,39.0
43,7.0
44,223.0
45,229.0
46,17.0
47,50.0
48,70.0
49,230.0
50,64.0
51,222.0
52,33.0
53,76.0
54,2.0
55,37.0
56,128.0
57,12.0
58,14.0
59,93.0
60,211.0
61,226.0
62,12.0
63,96.0
64,180.0
65,169.0
66,83.0
67,179.0
68,91.0
69,1.0
70,46.0
71,204.0
72,293.0
73,90.0
74,111.0
75,71.0
76,154.0
77,229.0
78,30.0
79,47.0
80,20.0
81,149.0
82,247.0
83,96.0
84,122.0
85,40.0
86,19.0
87,62.0
88,30.0
89,88.0
90,454.0
91,19.0
92,21.0
93,18.0
94,20.0
95,57.0
96,97.0
97,15.0
98,19.0
99,209.0
100,85.0
101,43.0
102,190.0
103,191.0
104,61.0
105,33.0
106,375.0
107,50.0
108,33.0
109,300.0
110,167.0
111,181.0
112,26.0
113,464.0
114,69.0
115,2.0
116,93.0
117,80.0
118,5.0
119,172.0
120,31.0
121,2.0
122,372.0
123,36.0
124,35.0
125,20.0
126,49.0
127,291.0
128,61.0
129,43.0
130,282.0
131,187.0
132,73.0
133,112.0
134,135.0
135,187.0
136,8.0
137,247.0
138,128.0
139,106.0
140,92.0
141,62.0
142,82.0
143,579.0
144,11.0
145,43.0
146,27.0
147,156.0
148,126.0
149,18.0
150,191.0
151,43.0
152,48.0
153,59.0
154,100.0
155,167.0
156,8.0
157,97.0
158,374.0
159,163.0
160,103.0
161,83.0
162,23.0
163,342.0
164,71.0
165,119.0
166,3.0
167,6.0
168,277.0
169,2.0
170,135.0
171,119.0
172,83.0
173,97.0
174,8.0
175,25.0
176,27.0
177,218.0
178,208.0
179,169.0
180,127.0
